"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "HTML", "XML", "SCSS", "comment", "blank", "total"
"e:\Coding\tcg-database-base\tcg-database\src\pages\FrontPage\FrontPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"e:\Coding\tcg-database-base\tcg-database\src\pages\NoPage\NoPage.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\Coding\tcg-database-base\tcg-database\src\pages\NoPage\NoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"e:\Coding\tcg-database-base\tcg-database\src\pages\SetPage\SetPage.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 8, 57
"e:\Coding\tcg-database-base\tcg-database\src\pages\SetPage\SetPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 4, 70
"e:\Coding\tcg-database-base\tcg-database\src\pages\SpoilersPage\SpoilersPage.css", "CSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\Coding\tcg-database-base\tcg-database\src\pages\SpoilersPage\SpoilersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 10, 68
"e:\Coding\tcg-database-base\tcg-database\src\services\gatcg-api.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\Coding\tcg-database-base\tcg-database\tsconfig.json", "JSON with Comments", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 89, 10, 112
"Total", "-", 35791, 15, 13, 46, 69, 3228, 545, 20, 1, 340, 238, 525, 40831
